,Image_name,Card-set,Card_number,Rarity,Card_name,Card type,Attribute,Types,Level,Attack,Defense
687,TDIL-EN087 R.png,The Dark Illusion,TDIL-EN087,Rare,SPYRAL Quik-Fix,Monster,EARTH,Machine / Effect,1,500,400
688,EXVC-EN098 SR.png,Extreme Victory,EXVC-EN098,Super Rare,Naturia Eggplant,Monster,EARTH,Plant / Effect,2,1000,700
689,POTD-EN030 C.png,Power of the Duelist,POTD-EN030,Common,Flying Saucer Muusik'i,Monster,LIGHT,Machine / Effect,5,1000,2000
690,DIFO-EN017 C.png,Dimension Force,DIFO-EN017,Common,Predaplant Byblisp,Monster,DARK,Plant / Effect,1,0,1900
691,PSV-080 C.png,Pharaoh's Servant,PSV-080,Common,Bite Shoes,Monster,DARK,Fiend / Effect,2,500,300
692,PGD-025 UR.png,Pharaonic Guardian,PGD-025,Ultra Rare,Guardian Sphinx,Monster,EARTH,Rock / Effect,5,1700,2400
693,DUEA-EN048 UR.png,Duelist Alliance,DUEA-EN048,Ultra Rare,El Shaddoll Winda,Monster,DARK,Spellcaster / Fusion / Effect,5,2200,800
694,GFP2-EN072 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN072,Ultra Rare,Vampire Grace,Monster,DARK,Zombie / Effect,6,2000,1200
695,SOVR-EN033 C.png,Stardust Overdrive,SOVR-EN033,Common,Energy Bravery,Monster,LIGHT,Warrior / Effect,4,1700,1200
696,IOC-088 SP.png,Invasion of Chaos,IOC-088,Short Print,Manju of the Ten Thousand Hands,Monster,LIGHT,Fairy / Effect,4,1400,1000
697,LON-063 C.png,Labyrinth of Nightmare,LON-063,Common,Summoner of Illusions,Monster,LIGHT,Spellcaster / Flip / Effect,3,800,900
698,LOB-083 C.png,Legend of Blue Eyes White Dragon,LOB-083,Common,Meda Bat,Monster,DARK,Fiend,2,800,400
699,DCR-028 C.png,Dark Crisis,DCR-028,Common,Thousand Needles,Monster,EARTH,Beast / Effect,4,1000,1800
700,MRL-007 C.png,Spell Ruler,MRL-007,Common,Metal Fish,Monster,WATER,Machine,5,1600,1900
701,TDIL-EN029 R.png,The Dark Illusion,TDIL-EN029,Rare,Triamid Master,Monster,EARTH,Rock / Effect,4,1800,700
702,INOV-EN037 ScR.png,Invasion: Vengeance,INOV-EN037,Secret Rare,"Sauravis, the Ancient and Ascended",Monster,LIGHT,Dragon / Ritual / Effect,7,2600,2800
703,RATE-EN001 SR.png,Raging Tempest,RATE-EN001,Super Rare,Dragoncaller Magician,Monster,DARK,Spellcaster / Pendulum / Effect,7,2400,1000
704,CBLZ-EN012 R.png,Cosmo Blazer,CBLZ-EN012,Rare,Hyper-Ancient Shark Megalodon,Monster,WATER,Fish / Effect,8,2900,1300
705,SECE-EN084 R.png,Secrets of Eternity,SECE-EN084,Rare,"Cagna, Malebranche of the Burning Abyss",Monster,DARK,Fiend / Effect,3,1500,300
706,SOFU-EN094 C.png,Soul Fusion,SOFU-EN094,Common,Predaplant Dragostapelia,Monster,DARK,Plant / Fusion / Effect,8,2700,1900
707,BACH-EN007 UR.png,Battle of Chaos,BACH-EN007,Ultra Rare,Icejade Aegirine,Monster,WATER,Aqua / Effect,3,1000,2000
708,LIOV-EN034 UR.png,Lightning Overdrive,LIOV-EN034,Ultra Rare,Mysterion the Dragon Crown,Monster,LIGHT,Spellcaster / Fusion / Effect,8,3000,1500
709,ORCS-EN081 R.png,Order of Chaos,ORCS-EN081,Rare,Inzektor Hopper,Monster,DARK,Insect / Effect,4,1700,1400
710,CSOC-EN038 UR.png,Crossroads of Chaos,CSOC-EN038,Ultra Rare,Turbo Warrior,Monster,WIND,Warrior / Synchro / Effect,6,2500,1500
711,EXVC-EN009 UR.png,Extreme Victory,EXVC-EN009,Ultra Rare,Blackwing - Kogarashi the Wanderer,Monster,DARK,Winged Beast / Tuner / Effect,6,2300,1600
712,BOSH-EN006 C.png,Breakers of Shadow,BOSH-EN006,Common,Performapal Rain Goat,Monster,WATER,Beast / Effect,1,0,0
713,EXVC-EN001 R.png,Extreme Victory,EXVC-EN001,Rare,Junk Servant,Monster,EARTH,Warrior / Effect,4,1500,1000
714,MACR-EN034 C.png,Maximum Crisis ,MACR-EN034,Common,Baobaboon,Monster,DARK,Plant / Effect,3,1200,1000
715,GLAS-EN087 ScR.png,Gladiator's Assault,GLAS-EN087,Secret Rare,Royal Firestorm Guards,Monster,FIRE,Pyro / Effect,4,1700,1200
716,DANE-EN086 R.png,Dark Neostorm,DANE-EN086,Rare,Valkyrie Funfte,Monster,LIGHT,Fairy / Effect,2,800,1200
717,PTDN-EN043 SR.png,Phantom Darkness,PTDN-EN043,Super Rare,Elemental HERO Storm Neos,Monster,WIND,Warrior / Fusion / Effect,9,3000,2500
718,GFP2-EN088 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN088,Ultra Rare,Tenyi Spirit - Ashuna,Monster,LIGHT,Wyrm / Effect,7,1600,2600
719,TDGS-EN083 R.png,The Duelist Genesis,TDGS-EN083,Rare,Izanami,Monster,WATER,Fairy / Spirit,4,1100,1800
720,CSOC-EN022 R.png,Crossroads of Chaos,CSOC-EN022,Rare,Storm Caller,Monster,WIND,Psychic / Effect,6,2300,2000
721,RGBT-EN004 R.png,Raging Battle,RGBT-EN004,Rare,Dark Verger,Monster,EARTH,Plant / Effect,2,0,1000
722,SHSP-EN094 SR.png,Shadow Specters,SHSP-EN094,Super Rare,Kidmodo Dragon,Monster,EARTH,Dragon / Effect,3,100,200
723,BOSH-EN029 SR.png,Breakers of Shadow,BOSH-EN029,Super Rare,Dinomist Rex,Monster,WATER,Machine / Pendulum / Effect,5,2400,2200
724,RGBT-EN039 SP.png,Raging Battle,RGBT-EN039,Short Print,G.B. Hunter,Monster,EARTH,Warrior / Effect,4,1200,2000
725,LVAL-EN090 C.png,Legacy of the Valiant,LVAL-EN090,Common,Dark Artist,Monster,DARK,Fiend / Effect,3,600,1400
726,RGBT-EN002 SR.png,Raging Battle,RGBT-EN002,Super Rare,Level Warrior,Monster,LIGHT,Warrior / Effect,3,300,600
727,CORE-EN041 R.png,Clash of Rebellions,CORE-EN041,Rare,Magical Abductor,Monster,EARTH,Spellcaster / Pendulum / Effect,4,1700,1400
728,FOTB-EN003 C.png,Force of the Breaker,FOTB-EN003,Common,Crystal Beast Emerald Tortoise,Monster,WATER,Aqua / Effect,3,600,2000
729,LTGY-EN004 C.png,Lord of the Tachyon Galaxy,LTGY-EN004,Common,Dotedotengu,Monster,WIND,Fiend / Effect,3,0,800
730,PHSW-EN037 ScR.png,Photon Shockwave,PHSW-EN037,Secret Rare,Rescue Rabbit,Monster,EARTH,Beast / Effect,4,300,100
731,ABPF-EN008 C.png,Absolute Powerforce,ABPF-EN008,Common,Magic Hole Golem,Monster,DARK,Rock / Effect,3,0,2000
732,CYHO-EN009 C.png,Cybernetic Horizon,CYHO-EN009,Common,Crusadia Draco,Monster,WIND,Dragon / Effect,4,600,2000
733,BLVO-EN026 C.png,Blazing Vortex,BLVO-EN026,Common,"Neiroy, the Dream Mirror Disciple",Monster,LIGHT,Fairy / Effect,3,1000,1000
734,CORE-EN009 C.png,Clash of Rebellions,CORE-EN009,Common,Tamtam the Melodious Diva,Monster,LIGHT,Fairy / Effect,4,1000,2000
735,PRIO-EN084 UR.png,Primal Origin,PRIO-EN084,Ultra Rare,Bujingi Sinyou,Monster,LIGHT,Beast / Effect,4,1500,1000
736,EXVC-EN035 SP.png,Extreme Victory,EXVC-EN035,Short Print,Jar Turtle,Monster,WATER,Reptile / Effect,4,200,2100
737,CRV-EN011 C.png,Cybernetic Revolution,CRV-EN011,Common,Jetroid,Monster,WIND,Machine / Effect,4,1200,1800
738,RIRA-EN010 C.png,Rising Rampage,RIRA-EN010,Common,Yosenju Izna,Monster,WIND,Beast-Warrior / Effect,4,800,1200
739,CROS-EN030 UR.png,Crossed Souls,CROS-EN030,Ultra Rare,Infernoid Pirmais,Monster,FIRE,Fiend / Effect,1,0,0
740,TDIL-EN031 UR.png,The Dark Illusion,TDIL-EN031,Ultra Rare,Shiranui Solitaire,Monster,FIRE,Zombie / Effect,4,500,0
741,PHSW-EN098 ScR.png,Photon Shockwave,PHSW-EN098,Secret Rare,"Metaion, the Timelord",Monster,FIRE,Fairy / Effect,10,0,0
742,CDIP-EN022 C.png,Cyberdark Impact,CDIP-EN022,Common,Barrier Statue of the Drought,Monster,EARTH,Rock / Effect,4,1000,1000
743,DAMA-EN009 ScR.png,Dawn of Majesty,DAMA-EN009,Secret Rare,The Iris Swordsoul,Monster,LIGHT,Spellcaster / Effect,8,2500,2500
744,DREV-EN043 UR.png,Duelist Revolution,DREV-EN043,Ultra Rare,Scrap Dragon,Monster,EARTH,Dragon / Synchro / Effect,8,2800,2000
745,LODT-EN005 C.png,Light of Destruction,LODT-EN005,Common,Volcanic Queen,Monster,FIRE,Pyro / Effect,6,2500,1200
746,DIFO-EN031 C.png,Dimension Force,DIFO-EN031,Common,Reverse Jar,Monster,EARTH,Rock / Flip / Effect,3,800,900
747,STOR-EN039 UR.png,Storm of Ragnarok,STOR-EN039,Ultra Rare,"Loki, Lord of the Aesir",Monster,DARK,Spellcaster / Synchro / Effect,10,3300,3000
748,SOVR-EN004 C.png,Stardust Overdrive,SOVR-EN004,Common,Quickdraw Synchron,Monster,WIND,Machine / Tuner / Effect,5,700,1400
749,MRD-005 C.png,Metal Raiders,MRD-005,Common,Armored Lizard,Monster,EARTH,Reptile,4,1500,1200
750,CRMS-EN039 R.png,Crimson Crisis,CRMS-EN039,Rare,Alien Ammonite,Monster,LIGHT,Reptile / Tuner / Effect,1,500,200
751,PHRA-EN012 C.png,Phantom Rage,PHRA-EN012,Common,Virtual World Xiezhi - Jiji,Monster,EARTH,Wyrm / Effect,3,1000,1600
752,MRD-110 R.png,Metal Raiders,MRD-110,Rare,Milus Radiant,Monster,EARTH,Beast / Effect,1,300,250
753,GFP2-EN102 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN102,Ultra Rare,Doppelwarrior,Monster,DARK,Warrior / Effect,2,800,800
754,IOC-078 SP.png,Invasion of Chaos,IOC-078,Short Print,Pinch Hopper,Monster,EARTH,Insect / Effect,4,1000,1200
755,PTDN-EN088 R.png,Phantom Darkness,PTDN-EN088,Rare,Lonefire Blossom,Monster,FIRE,Plant / Effect,3,500,1400
756,REDU-EN034 R.png,Return of the Duelist,REDU-EN034,Rare,Dust Knight,Monster,EARTH,Warrior / Effect,4,1400,1200
757,PRIO-EN083 SR.png,Primal Origin,PRIO-EN083,Super Rare,Sylvan Princessprout,Monster,LIGHT,Plant / Effect,1,100,100
758,LTGY-EN084 R.png,Lord of the Tachyon Galaxy,LTGY-EN084,Rare,Trifortressops,Monster,DARK,Machine / Effect,6,1600,2800
759,MFC-010 C.png,Magician's Force,MFC-010,Common,Decayed Commander,Monster,EARTH,Zombie / Effect,4,1000,1500
760,MRD-099 C.png,Metal Raiders,MRD-099,Common,The Immortal of Thunder,Monster,LIGHT,Thunder / Effect,4,1500,1300
761,BOSH-EN016 C.png,Breakers of Shadow,BOSH-EN016,Common,"Twilight Ninja Nichirin, the Chunin",Monster,DARK,Warrior / Effect,6,2300,1000
762,LOB-036 C.png,Legend of Blue Eyes White Dragon,LOB-036,Common,King Fog,Monster,DARK,Fiend,3,1000,900
763,ROTD-EN003 UR.png,Rise of the Duelist,ROTD-EN003,Ultra Rare,Artillery Catapult Turtle,Monster,WATER,Aqua / Effect,4,1000,2000
764,SAST-EN037 UR.png,Savage Strike,SAST-EN037,Ultra Rare,Borreload Savage Dragon,Monster,DARK,Dragon / Synchro / Effect,8,3000,2500
765,GLAS-EN008 SR.png,Gladiator's Assault,GLAS-EN008,Super Rare,Cloudian - Sheep Cloud,Monster,WATER,Fairy / Effect,1,0,0
766,CROS-EN036 C.png,Crossed Souls,CROS-EN036,Common,Doomdog Octhros,Monster,DARK,Fiend / Effect,3,800,800
767,CRV-EN021 SR.png,Cybernetic Revolution,CRV-EN021,Super Rare,B.E.S. Crystal Core,Monster,WATER,Machine / Effect,5,2100,1000
768,LED8-EN044 C.png,Legendary Duelists: Synchro Storm,LED8-EN044,Common,Lyrilusc - Turquoise Warbler,Monster,WIND,Winged Beast / Effect,1,100,100
769,GFP2-EN033 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN033,Ultra Rare,Dark Alligator,Monster,DARK,Reptile / Effect,8,2500,2300
770,GFP2-EN070 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN070,Ultra Rare,Vampire Sorcerer,Monster,DARK,Zombie / Effect,4,1500,1500
771,DREV-EN017 C.png,Duelist Revolution,DREV-EN017,Common,Rhinotaurus,Monster,FIRE,Beast-Warrior / Effect,4,1800,600
772,GAOV-EN093 C.png,Galactic Overlord,GAOV-EN093,Common,Influence Dragon,Monster,WIND,Dragon / Tuner,3,300,900
773,BODE-EN018 SR.png,Burst of Destiny,BODE-EN018,Super Rare,Destiny HERO - Denier,Monster,DARK,Warrior / Effect,3,1100,600
774,TSHD-EN036 C.png,The Shining Darkness,TSHD-EN036,Common,Key Mouse,Monster,EARTH,Beast / Tuner,1,100,100
775,BLVO-EN016 C.png,Blazing Vortex,BLVO-EN016,Common,Windwitch - Blizzard Bell,Monster,WIND,Spellcaster / Tuner / Effect,5,1800,1800
776,NECH-EN030 C.png,The New Challengers,NECH-EN030,Common,Shaddoll Hound,Monster,DARK,Spellcaster / Flip / Effect,4,1600,900
777,MRD-050 C.png,Metal Raiders,MRD-050,Common,Ancient Lizard Warrior,Monster,EARTH,Reptile,4,1400,1100
778,COTD-EN093 C.png,Code of the Duelist,COTD-EN093,Common,Wicked Acolyte Chilam Sabak,Monster,DARK,Reptile / Effect,8,2500,0
779,PRIO-EN099 C.png,Primal Origin,PRIO-EN099,Common,Hundred-Footed Horror,Monster,DARK,Insect / Effect,7,2600,1300
780,DUEA-EN029 SR.png,Duelist Alliance,DUEA-EN029,Super Rare,"Bi'an, Earth of the Yang Zing",Monster,EARTH,Wyrm / Effect,3,1600,0
781,EOJ-EN013 R.png,Enemy of Justice,EOJ-EN013,Rare,Harpie's Pet Baby Dragon,Monster,WIND,Dragon / Effect,4,1200,600
782,DANE-EN006 C.png,Dark Neostorm,DANE-EN006,Common,Dinowrestler Eskrimamenchi,Monster,EARTH,Dinosaur / Effect,6,2200,0
783,LOB-087 C.png,Legend of Blue Eyes White Dragon,LOB-087,Common,One-Eyed Shield Dragon,Monster,WIND,Dragon,3,700,1300
784,SAST-EN011 C.png,Savage Strike,SAST-EN011,Common,T.G. Tank Grub,Monster,EARTH,Insect / Tuner / Effect,1,0,0
785,ETCO-EN024 ScR.png,Eternity Code,ETCO-EN024,Secret Rare,"Girsu, the Orcust Mekk-Knight",Monster,DARK,Machine / Effect,4,1800,0
786,LON-067 C.png,Labyrinth of Nightmare,LON-067,Common,Spirit of Flames,Monster,FIRE,Pyro / Effect,4,1700,1000
787,TSHD-EN020 C.png,The Shining Darkness,TSHD-EN020,Common,Fairy Archer,Monster,LIGHT,Fairy / Effect,3,1400,600
788,LIOV-EN087 C.png,Lightning Overdrive,LIOV-EN087,Common,War Rock Mammud,Monster,EARTH,Warrior / Effect,5,2000,2000
789,TLM-EN012 SR.png,The Lost Millennium,TLM-EN012,Super Rare,Hieracosphinx,Monster,EARTH,Rock / Effect,6,2400,1200
790,MFC-083 C.png,Magician's Force,MFC-083,Common,Dark Cat with White Tail,Monster,EARTH,Beast / Effect,2,800,500
791,CDIP-EN020 C.png,Cyberdark Impact,CDIP-EN020,Common,Barrier Statue of the Inferno,Monster,FIRE,Pyro / Effect,4,1000,1000
792,ANPR-EN010 R.png,Ancient Prophecy,ANPR-EN010,Rare,Fortune Lady Light,Monster,LIGHT,Spellcaster / Effect,1,0,0
793,CSOC-EN030 C.png,Crossroads of Chaos,CSOC-EN030,Common,Zombie Mammoth,Monster,EARTH,Zombie / Effect,4,1900,0
794,REDU-EN029 R.png,Return of the Duelist,REDU-EN029,Rare,Geargiarsenal,Monster,EARTH,Machine / Effect,4,1500,500
795,GFP2-EN066 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN066,Ultra Rare,Ghostrick Jiangshi,Monster,DARK,Zombie / Effect,3,400,1800
796,DREV-EN023 R.png,Duelist Revolution,DREV-EN023,Rare,Scrap Golem,Monster,EARTH,Rock / Effect,5,2300,1400
797,ETCO-EN028 UR.png,Eternity Code,ETCO-EN028,Ultra Rare,"Loptr, Shadow of the Generaider Bosses",Monster,FIRE,Fairy / Effect,4,1500,1500
798,ORCS-EN096 R.png,Order of Chaos,ORCS-EN096,Rare,Dark Flattop,Monster,DARK,Machine / Synchro / Effect,8,0,3000
799,SECE-EN032 SR.png,Secrets of Eternity,SECE-EN032,Super Rare,Skilled Blue Magician,Monster,LIGHT,Spellcaster / Effect,4,1800,1800
800,COTD-EN009 SR.png,Code of the Duelist,COTD-EN009,Super Rare,Gouki Twistcobra,Monster,EARTH,Warrior / Effect,3,1600,0
801,RGBT-EN013 UR.png,Raging Battle,RGBT-EN013,Ultra Rare,Blackwing - Elphin the Raven,Monster,DARK,Winged Beast / Effect,6,2200,1200
802,CBLZ-EN042 C.png,Cosmo Blazer,CBLZ-EN042,Common,Leotaur,Monster,EARTH,Beast-Warrior / Effect,4,1500,1600
803,RATE-EN002 C.png,Raging Tempest,RATE-EN002,Common,Performapal Handstandaccoon,Monster,EARTH,Beast / Pendulum / Effect,2,400,600
804,TDIL-EN082 R.png,The Dark Illusion,TDIL-EN082,Rare,Subterror Nemesis Warrior,Monster,EARTH,Warrior / Effect,4,1800,1200
805,RDS-EN022 C.png,Rise of Destiny,RDS-EN022,Common,Eagle Eye,Monster,WIND,Winged Beast / Effect,3,1300,1200
806,EXFO-EN000 C.png,Extreme Force,EXFO-EN000,Common,Yoko-Zuna Sumo Spirit,Monster,WIND,Warrior / Pendulum / Spirit / Effect,5,2400,1000
807,GFP2-EN001 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN001,Ultra Rare,Crystal Beast Rainbow Dragon,Monster,LIGHT,Dragon / Effect,8,3000,0
808,EEN-EN010 R.png,Elemental Energy,EEN-EN010,Rare,Chthonian Soldier,Monster,DARK,Warrior / Effect,4,1200,1400
809,DUEA-EN044 C.png,Duelist Alliance,DUEA-EN044,Common,Re-Cover,Monster,EARTH,Psychic / Tuner / Effect,1,700,300
810,INOV-EN047 R.png,Invasion: Vengeance,INOV-EN047,Rare,Aromaseraphy Rosemary,Monster,LIGHT,Plant / Synchro / Effect,5,2000,900
811,AST-019 C.png,Ancient Sanctuary,AST-019,Common,KA-2 Des Scissors,Monster,DARK,Machine / Effect,4,1000,1000
812,SAST-EN012 C.png,Savage Strike,SAST-EN012,Common,Guardragon Justicia,Monster,WATER,Dragon / Tuner / Normal,2,0,2100
813,EXFO-EN087 C.png,Extreme Force,EXFO-EN087,Common,F.A. Motorhome Transport,Monster,LIGHT,Machine / Synchro / Effect,9,0,3000
814,LIOV-EN100 StR.png,Lightning Overdrive,LIOV-EN100,Starlight Rare,Black Rose Dragon,Monster,FIRE,Dragon / Synchro / Effect,7,2400,1800
815,TDIL-EN019 SR.png,The Dark Illusion,TDIL-EN019,Super Rare,Magician's Rod,Monster,DARK,Spellcaster / Effect,3,1600,100
816,DUEA-EN028 SR.png,Duelist Alliance,DUEA-EN028,Super Rare,"Suanni, Fire of the Yang Zing",Monster,FIRE,Wyrm / Effect,4,1900,0
817,POTD-EN013 C.png,Power of the Duelist,POTD-EN013,Common,Destiny HERO - Defender,Monster,DARK,Warrior / Effect,4,100,2700
818,FLOD-EN033 ScR.png,Flames of Destruction,FLOD-EN033,Secret Rare,Ghost Belle & Haunted Mansion,Monster,EARTH,Zombie / Tuner / Effect,3,0,1800
819,LED8-EN006 UR.png,Legendary Duelists: Synchro Storm,LED8-EN006,Ultra Rare,Hi-Speedroid Clear Wing Rider,Monster,WIND,Machine / Synchro / Effect,11,3500,2000
820,STBL-EN086 ScR.png,Starstrike Blast,STBL-EN086,Secret Rare,Psi-Blocker,Monster,WIND,Psychic / Effect,4,1200,300
821,SHVI-EN037 C.png,Shining Victories,SHVI-EN037,Common,Ryu Okami,Monster,LIGHT,Wyrm / Effect,8,2900,1200
822,CBLZ-EN029 C.png,Cosmo Blazer,CBLZ-EN029,Common,Hazy Flame Griffin,Monster,FIRE,Winged Beast / Effect,6,200,2100
823,ROTD-EN023 C.png,Rise of the Duelist,ROTD-EN023,Common,Capricious Darklord,Monster,DARK,Fairy / Effect,4,0,1600
824,STBL-EN042 UR.png,Starstrike Blast,STBL-EN042,Ultra Rare,Red Nova Dragon,Monster,DARK,Dragon / Synchro / Effect,12,3500,3000
825,TDIL-EN008 C.png,The Dark Illusion,TDIL-EN008,Common,Performapal Life Swordsman,Monster,LIGHT,Warrior / Effect,1,0,0
826,BLVO-EN039 SR.png,Blazing Vortex,BLVO-EN039,Super Rare,Parametalfoes Azortless,Monster,FIRE,Psychic / Fusion / Pendulum / Effect,7,2500,2000
827,STOR-EN031 R.png,Storm of Ragnarok,STOR-EN031,Rare,Wattberyx,Monster,LIGHT,Thunder / Tuner,3,300,0
828,MFC-078 C.png,Magician's Force,MFC-078,Common,Dark Scorpion - Cliff the Trap Remover,Monster,DARK,Warrior / Effect,3,1200,1000
829,FET-EN036 SR.png,Flaming Eternity,FET-EN036,Super Rare,King Dragun,Monster,DARK,Dragon / Fusion / Effect,7,2400,1100
830,MAGO-EN121 R.png,Maximum Gold,MAGO-EN121,Rare,Gogogo Gigas,Monster,EARTH,Rock / Effect,4,0,2200
831,ORCS-EN037 SR.png,Order of Chaos,ORCS-EN037,Super Rare,Darkstorm Dragon,Monster,DARK,Dragon / Gemini / Effect,8,2700,2500
832,FOTB-EN017 R.png,Force of the Breaker,FOTB-EN017,Rare,Destroyersaurus,Monster,EARTH,Dinosaur / Effect,4,1800,1100
833,SOFU-EN030 R.png,Soul Fusion,SOFU-EN030,Rare,Gokipole,Monster,EARTH,Insect / Effect,3,1000,1200
834,ORCS-EN009 C.png,Order of Chaos,ORCS-EN009,Common,Photon Crusher,Monster,LIGHT,Warrior / Effect,4,2000,0
835,CBLZ-EN031 R.png,Cosmo Blazer,CBLZ-EN031,Rare,Hazy Flame Peryton,Monster,FIRE,Pyro / Effect,6,1600,1700
836,EXFO-EN032 R.png,Extreme Force,EXFO-EN032,Rare,Ghost Bird of Bewitchment,Monster,DARK,Winged Beast / Effect,4,1300,1500
837,LON-042 C.png,Labyrinth of Nightmare,LON-042,Common,Hysteric Fairy,Monster,LIGHT,Fairy / Effect,4,1800,500
838,TSHD-EN013 C.png,The Shining Darkness,TSHD-EN013,Common,Infernity Randomizer,Monster,DARK,Warrior / Effect,1,900,0
839,JOTL-EN023 UR.png,Judgment of the Light,JOTL-EN023,Ultra Rare,Mecha Phantom Beast Blue Impala,Monster,WIND,Machine / Tuner / Effect,3,1400,1100
840,DOCS-EN027 C.png,Dimension of Chaos,DOCS-EN027,Common,Majespecter Crow - Yata,Monster,WIND,Spellcaster / Pendulum / Effect,4,1000,1500
841,ABYR-EN031 C.png,Abyss Rising,ABYR-EN031,Common,Nimble Angler,Monster,WATER,Fish / Effect,2,600,100
842,PHRA-EN083 C.png,Phantom Rage,PHRA-EN083,Common,"Periallis, Empress of Blossoms",Monster,LIGHT,Plant / Synchro / Effect,7,1600,2400
843,INOV-EN086 R.png,Invasion: Vengeance,INOV-EN086,Rare,Charming Resort Staff,Monster,LIGHT,Fairy / Effect,3,300,200
844,CHIM-EN008 R.png,Chaos Impact,CHIM-EN008,Rare,Unchained Twins - Aruha,Monster,FIRE,Fiend / Effect,3,1500,1500
845,MFC-024 R.png,Magician's Force,MFC-024,Rare,Great Phantom Thief,Monster,EARTH,Spellcaster / Effect,3,1000,1000
846,FET-EN015 R.png,Flaming Eternity,FET-EN015,Rare,Big-Tusked Mammoth,Monster,EARTH,Beast / Effect,5,2000,1000
847,MAGO-EN021 PGR.png,Maximum Gold,MAGO-EN021,Premium Gold Rare,Laundry Dragonmaid,Monster,WATER,Dragon / Effect,2,500,1600
848,DIFO-EN082 SR.png,Dimension Force,DIFO-EN082,Super Rare,Navy Dragon Mech,Monster,WATER,Machine / Synchro / Effect,9,2700,1800
849,GFP2-EN131 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN131,Ultra Rare,"Yazi, Evil of the Yang Zing",Monster,DARK,Wyrm / Synchro / Effect,7,2600,2100
850,RDS-EN021 SR.png,Rise of Destiny,RDS-EN021,Super Rare,Thestalos the Firestorm Monarch,Monster,FIRE,Pyro / Effect,6,2400,1000
851,GLAS-EN039 UR.png,Gladiator's Assault,GLAS-EN039,Ultra Rare,Evil HERO Lightning Golem,Monster,LIGHT,Fiend / Fusion / Effect,6,2400,1500
852,SHVI-EN031 SR.png,Shining Victories,SHVI-EN031,Super Rare,Amorphage Goliath,Monster,EARTH,Dragon / Pendulum / Effect,8,2750,0
853,EXFO-EN082 SR.png,Extreme Force,EXFO-EN082,Super Rare,Vendread Battlelord,Monster,DARK,Zombie / Ritual / Effect,7,2700,0
854,PRIO-EN002 C.png,Primal Origin,PRIO-EN002,Common,Galaxy Mirror Sage,Monster,LIGHT,Spellcaster / Flip / Effect,3,0,800
855,LON-044 C.png,Labyrinth of Nightmare,LON-044,Common,The Forgiving Maiden,Monster,LIGHT,Fairy / Effect,4,850,2000
856,RATE-EN040 R.png,Raging Tempest,RATE-EN040,Rare,Windwitch - Crystal Bell,Monster,WIND,Spellcaster / Fusion / Effect,8,2800,2400
857,LON-075 C.png,Labyrinth of Nightmare,LON-075,Common,Supply,Monster,EARTH,Warrior / Effect,4,1300,800
858,EOJ-EN020 C.png,Enemy of Justice,EOJ-EN020,Common,Bountiful Artemis,Monster,LIGHT,Fairy / Effect,4,1600,1700
859,LOD-064 SP.png,Legacy of Darkness,LOD-064,Short Print,Maharaghi,Monster,EARTH,Rock / Spirit,4,1200,1700
860,LOD-067 UR.png,Legacy of Darkness,LOD-067,Ultra Rare,Yamata Dragon,Monster,FIRE,Dragon / Spirit,7,2600,3100
861,LOD-036 C.png,Legacy of Darkness,LOD-036,Common,Spirit Ryu,Monster,WIND,Dragon / Effect,4,1000,1000
862,CORE-EN010 SR.png,Clash of Rebellions,CORE-EN010,Super Rare,Fluffal Mouse,Monster,EARTH,Fairy / Effect,1,100,100
863,INOV-EN006 R.png,Invasion: Vengeance,INOV-EN006,Rare,Predaplant Flytrap,Monster,DARK,Plant / Effect,2,400,800
864,LVAL-EN037 R.png,Legacy of the Valiant,LVAL-EN037,Rare,Nikitama,Monster,LIGHT,Fairy / Spirit,4,800,1800
865,DREV-EN004 C.png,Duelist Revolution,DREV-EN004,Common,Damage Eater,Monster,DARK,Fiend / Effect,2,100,800
866,POTD-EN009 C.png,Power of the Duelist,POTD-EN009,Common,Ambulanceroid,Monster,EARTH,Machine / Effect,3,300,1200
867,GFP2-EN046 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN046,Ultra Rare,Mystical Shine Ball,Monster,LIGHT,Fairy / Normal,2,500,500
868,LOB-122 UR.png,Legend of Blue Eyes White Dragon,LOB-122,Ultra Rare,Right Arm of the Forbidden One,Monster,DARK,Spellcaster / Normal,1,200,300
869,GFP2-EN042 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN042,Ultra Rare,"Victorica, Angel of Bravery",Monster,LIGHT,Fairy / Effect,4,1400,800
870,CRMS-EN015 SR.png,Crimson Crisis,CRMS-EN015,Super Rare,Black Salvo,Monster,DARK,Machine / Tuner / Effect,3,100,1100
871,RDS-EN012 UR.png,Rise of Destiny,RDS-EN012,Ultra Rare,Perfect Machine King,Monster,EARTH,Machine / Effect,8,2700,1500
