,Online boarding,Inflight entertainment,Type of Travel,Class
2394,1,2,Personal Travel,Eco
2395,5,1,Business travel,Business
2396,4,4,Business travel,Business
2397,5,5,Business travel,Business
2398,3,2,Business travel,Business
2399,4,2,Business travel,Business
2400,4,4,Business travel,Business
2401,3,3,Personal Travel,Eco
2402,4,2,Business travel,Business
2403,5,2,Business travel,Business
2404,5,5,Business travel,Business
2405,3,2,Business travel,Eco
2406,3,2,Business travel,Business
2407,1,3,Personal Travel,Eco
2408,3,3,Business travel,Business
2409,4,4,Business travel,Eco
2410,3,2,Business travel,Business
2411,4,5,Business travel,Business
2412,3,3,Business travel,Eco Plus
2413,5,5,Business travel,Business
2414,4,5,Business travel,Business
2415,3,5,Business travel,Business
2416,2,4,Personal Travel,Eco
2417,5,5,Business travel,Business
2418,5,5,Business travel,Business
2419,5,5,Business travel,Business
2420,4,4,Business travel,Eco
2421,5,4,Business travel,Business
2422,1,4,Personal Travel,Eco
2423,3,3,Business travel,Eco
2424,4,4,Business travel,Business
2425,5,5,Business travel,Business
2426,4,4,Business travel,Business
2427,4,2,Personal Travel,Eco
2428,4,4,Business travel,Eco
2429,4,2,Business travel,Business
2430,5,5,Business travel,Business
2431,1,1,Business travel,Business
2432,2,5,Personal Travel,Eco
2433,1,5,Business travel,Eco
2434,2,2,Business travel,Eco
2435,2,1,Personal Travel,Eco
2436,5,3,Business travel,Business
2437,4,4,Business travel,Business
2438,4,4,Business travel,Business
2439,4,4,Business travel,Business
2440,5,5,Business travel,Business
2441,2,1,Business travel,Eco
2442,4,4,Personal Travel,Eco
2443,3,1,Business travel,Business
2444,4,4,Business travel,Business
2445,1,3,Business travel,Business
2446,2,2,Business travel,Business
2447,5,3,Personal Travel,Eco
2448,4,5,Business travel,Eco
2449,4,4,Business travel,Business
2450,4,2,Business travel,Business
2451,5,4,Business travel,Business
2452,3,3,Business travel,Eco
2453,2,4,Personal Travel,Eco
2454,4,5,Business travel,Business
2455,3,3,Personal Travel,Eco
2456,3,4,Personal Travel,Eco
2457,4,2,Business travel,Eco
2458,5,5,Business travel,Business
2459,4,4,Personal Travel,Eco
2460,4,4,Business travel,Business
2461,4,3,Business travel,Business
2462,5,3,Personal Travel,Eco Plus
2463,5,4,Business travel,Business
2464,4,4,Business travel,Business
2465,3,3,Business travel,Business
2466,4,5,Business travel,Business
2467,2,3,Personal Travel,Eco Plus
2468,4,3,Personal Travel,Eco
2469,3,3,Business travel,Eco Plus
2470,1,3,Personal Travel,Eco Plus
2471,2,2,Business travel,Eco
2472,4,2,Personal Travel,Eco
2473,1,2,Personal Travel,Business
2474,4,4,Business travel,Eco
2475,3,2,Personal Travel,Eco
2476,2,3,Business travel,Business
2477,2,3,Business travel,Business
2478,5,5,Personal Travel,Eco
2479,4,4,Business travel,Eco
2480,2,5,Personal Travel,Eco
2481,4,4,Business travel,Business
2482,4,3,Business travel,Business
2483,4,4,Business travel,Business
2484,3,3,Business travel,Eco
2485,4,2,Business travel,Business
2486,5,4,Business travel,Business
2487,5,2,Personal Travel,Eco
2488,2,1,Personal Travel,Eco
2489,4,3,Business travel,Eco
2490,4,1,Personal Travel,Eco
2491,4,4,Business travel,Business
2492,5,4,Business travel,Business
2493,2,3,Personal Travel,Eco
2494,4,5,Business travel,Business
2495,1,2,Business travel,Eco Plus
2496,4,1,Business travel,Business
2497,4,4,Business travel,Eco
2498,4,5,Business travel,Business
2499,1,2,Business travel,Business
2500,2,2,Personal Travel,Eco
2501,3,1,Personal Travel,Eco
2502,5,3,Business travel,Business
2503,4,5,Personal Travel,Eco
2504,4,4,Business travel,Business
2505,4,2,Business travel,Eco
2506,3,1,Business travel,Business
2507,4,3,Personal Travel,Eco Plus
2508,5,5,Business travel,Business
2509,5,5,Business travel,Eco Plus
2510,4,3,Business travel,Eco
2511,4,5,Business travel,Business
2512,4,3,Business travel,Business
2513,5,3,Business travel,Business
2514,5,5,Business travel,Business
2515,5,4,Business travel,Business
2516,1,1,Business travel,Business
2517,2,4,Personal Travel,Eco
2518,4,2,Personal Travel,Business
2519,2,4,Business travel,Business
2520,2,2,Business travel,Business
2521,2,4,Business travel,Eco
2522,5,4,Business travel,Eco
2523,4,5,Personal Travel,Eco Plus
2524,4,3,Business travel,Business
2525,1,3,Personal Travel,Eco
2526,2,2,Business travel,Eco
2527,4,4,Business travel,Business
2528,5,4,Personal Travel,Eco
2529,4,4,Business travel,Business
2530,2,1,Personal Travel,Eco
2531,2,4,Business travel,Eco Plus
2532,3,4,Personal Travel,Eco
2533,3,3,Business travel,Business
2534,5,4,Personal Travel,Eco
2535,4,5,Business travel,Business
2536,3,3,Personal Travel,Eco
2537,3,3,Business travel,Eco Plus
2538,5,5,Business travel,Business
2539,5,5,Business travel,Business
2540,5,5,Personal Travel,Eco Plus
2541,4,4,Business travel,Business
2542,4,2,Business travel,Eco
2543,4,3,Personal Travel,Eco
2544,3,4,Business travel,Business
2545,5,5,Personal Travel,Eco
2546,5,4,Business travel,Business
2547,4,4,Business travel,Eco
2548,2,3,Business travel,Business
2549,1,4,Business travel,Business
2550,2,4,Business travel,Business
2551,2,3,Personal Travel,Business
2552,5,4,Business travel,Business
2553,2,2,Business travel,Business
2554,4,1,Personal Travel,Eco
2555,2,3,Personal Travel,Eco
2556,3,3,Business travel,Business
2557,2,1,Personal Travel,Eco
2558,1,1,Business travel,Eco
2559,2,2,Personal Travel,Eco
2560,2,2,Business travel,Eco
2561,5,5,Business travel,Business
2562,4,4,Business travel,Business
2563,3,2,Personal Travel,Eco
2564,4,5,Business travel,Business
2565,2,4,Personal Travel,Eco
2566,5,5,Business travel,Business
2567,4,4,Business travel,Eco Plus
2568,5,3,Personal Travel,Eco Plus
2569,5,4,Personal Travel,Eco
2570,5,5,Business travel,Business
2571,4,5,Personal Travel,Eco
2572,4,4,Business travel,Business
2573,3,2,Business travel,Business
2574,2,3,Personal Travel,Eco
2575,4,4,Business travel,Business
2576,3,5,Business travel,Eco
2577,2,2,Business travel,Eco
2578,4,2,Business travel,Eco
2579,4,3,Business travel,Eco Plus
2580,2,2,Business travel,Eco
2581,4,3,Business travel,Business
2582,4,3,Personal Travel,Business
2583,4,4,Business travel,Business
2584,1,1,Personal Travel,Eco
2585,1,4,Business travel,Eco Plus
2586,3,3,Business travel,Eco
2587,5,4,Business travel,Business
2588,4,4,Business travel,Business
2589,3,1,Business travel,Eco
2590,4,5,Business travel,Business
2591,2,3,Personal Travel,Eco
2592,3,3,Business travel,Business
2593,4,5,Personal Travel,Eco
2594,3,2,Business travel,Business
2595,3,2,Personal Travel,Eco
2596,2,3,Personal Travel,Eco
2597,5,5,Business travel,Business
2598,5,5,Business travel,Business
2599,5,5,Personal Travel,Eco
2600,2,4,Business travel,Business
2601,3,3,Business travel,Eco
2602,5,5,Business travel,Eco Plus
2603,2,2,Personal Travel,Eco
2604,4,4,Business travel,Business
2605,2,3,Business travel,Business
2606,2,2,Business travel,Eco
2607,2,1,Business travel,Eco Plus
2608,4,2,Personal Travel,Eco Plus
2609,5,5,Business travel,Business
2610,4,5,Personal Travel,Eco
2611,1,1,Personal Travel,Eco
2612,4,4,Business travel,Eco Plus
2613,3,1,Personal Travel,Eco Plus
2614,4,4,Business travel,Business
2615,3,5,Business travel,Business
2616,3,3,Business travel,Eco
2617,4,4,Business travel,Business
2618,1,2,Business travel,Eco
2619,1,2,Business travel,Eco Plus
2620,2,4,Business travel,Business
2621,2,4,Personal Travel,Eco Plus
2622,4,3,Personal Travel,Eco
2623,4,4,Business travel,Business
2624,2,3,Business travel,Eco
2625,3,2,Business travel,Eco Plus
2626,4,4,Business travel,Business
2627,5,5,Personal Travel,Eco
2628,4,3,Personal Travel,Eco
2629,2,3,Personal Travel,Eco
2630,3,4,Personal Travel,Eco
2631,3,4,Business travel,Business
2632,4,4,Business travel,Business
2633,5,3,Business travel,Business
2634,4,5,Business travel,Business
2635,4,5,Business travel,Business
2636,2,2,Personal Travel,Eco Plus
2637,3,3,Business travel,Eco
2638,2,2,Personal Travel,Eco Plus
2639,1,4,Personal Travel,Eco
2640,1,2,Personal Travel,Eco
2641,5,5,Business travel,Eco
2642,3,3,Personal Travel,Eco
2643,5,4,Business travel,Business
2644,3,3,Business travel,Business
2645,3,3,Business travel,Eco
2646,4,2,Business travel,Business
2647,5,5,Business travel,Eco
2648,3,2,Personal Travel,Eco
2649,4,3,Business travel,Business
2650,5,4,Business travel,Business
2651,5,5,Business travel,Business
2652,3,4,Business travel,Business
2653,4,5,Business travel,Business
2654,5,5,Business travel,Eco
2655,4,5,Business travel,Eco
2656,2,4,Business travel,Eco
2657,5,5,Personal Travel,Eco
2658,4,5,Business travel,Business
2659,4,4,Business travel,Eco
2660,4,5,Business travel,Business
2661,2,2,Business travel,Business
2662,1,3,Personal Travel,Eco
2663,1,5,Business travel,Business
2664,3,5,Personal Travel,Eco
2665,5,4,Business travel,Business
2666,2,2,Business travel,Eco
2667,1,1,Business travel,Business
2668,4,4,Business travel,Eco
2669,3,2,Personal Travel,Eco
2670,4,3,Personal Travel,Eco
2671,4,2,Business travel,Business
2672,4,2,Business travel,Business
2673,2,1,Business travel,Eco
2674,5,5,Business travel,Business
2675,1,4,Business travel,Business
2676,3,5,Business travel,Business
2677,5,5,Business travel,Business
2678,4,4,Business travel,Business
2679,5,5,Personal Travel,Business
2680,4,3,Business travel,Eco
2681,3,3,Business travel,Business
2682,2,2,Personal Travel,Eco
2683,3,5,Personal Travel,Eco
2684,4,3,Personal Travel,Eco
2685,4,1,Business travel,Business
2686,5,5,Business travel,Business
2687,4,4,Business travel,Business
2688,4,5,Business travel,Business
2689,4,5,Personal Travel,Eco
2690,5,5,Business travel,Business
2691,5,5,Business travel,Eco
2692,3,3,Business travel,Eco
2693,5,5,Personal Travel,Business
2694,4,4,Business travel,Business
2695,1,5,Personal Travel,Eco
2696,4,5,Personal Travel,Eco
2697,4,4,Business travel,Business
2698,3,3,Business travel,Eco
2699,3,5,Personal Travel,Eco
2700,5,5,Personal Travel,Eco
2701,3,2,Personal Travel,Eco
2702,5,4,Business travel,Business
2703,5,5,Personal Travel,Eco
2704,2,3,Personal Travel,Eco
2705,4,1,Personal Travel,Eco Plus
2706,3,1,Personal Travel,Eco
2707,3,5,Personal Travel,Eco
2708,2,5,Business travel,Business
2709,2,3,Business travel,Business
2710,4,2,Personal Travel,Eco Plus
2711,4,4,Business travel,Business
2712,4,1,Business travel,Eco
2713,5,4,Personal Travel,Eco
2714,3,1,Personal Travel,Eco
2715,3,1,Business travel,Eco
2716,5,5,Business travel,Business
2717,2,5,Personal Travel,Eco
2718,3,4,Personal Travel,Eco Plus
2719,5,5,Personal Travel,Eco
2720,5,3,Business travel,Business
2721,5,5,Business travel,Business
2722,3,3,Business travel,Business
2723,5,4,Business travel,Business
2724,5,4,Business travel,Business
2725,3,5,Business travel,Business
2726,1,3,Business travel,Eco
2727,4,4,Business travel,Business
2728,4,4,Business travel,Eco
2729,3,5,Business travel,Eco
2730,4,4,Personal Travel,Business
2731,3,4,Business travel,Eco
2732,4,3,Business travel,Business
2733,3,3,Business travel,Business
2734,1,3,Personal Travel,Eco
2735,4,5,Business travel,Business
2736,4,3,Personal Travel,Eco
2737,4,3,Business travel,Business
2738,2,5,Business travel,Business
2739,5,4,Business travel,Business
2740,3,2,Business travel,Business
2741,5,3,Personal Travel,Eco Plus
2742,1,5,Personal Travel,Eco
2743,4,3,Business travel,Business
2744,5,2,Business travel,Eco
2745,3,5,Business travel,Eco
2746,4,5,Business travel,Business
2747,5,2,Personal Travel,Eco
2748,3,3,Business travel,Business
2749,3,2,Business travel,Business
2750,4,5,Business travel,Eco
2751,4,4,Business travel,Eco
2752,4,5,Personal Travel,Business
2753,2,1,Personal Travel,Eco
2754,2,5,Personal Travel,Eco
2755,4,4,Business travel,Eco
2756,4,2,Business travel,Business
2757,3,1,Personal Travel,Eco Plus
2758,5,5,Business travel,Business
2759,2,3,Business travel,Business
2760,3,1,Personal Travel,Eco Plus
2761,3,2,Business travel,Eco
2762,4,4,Business travel,Business
2763,1,3,Business travel,Eco
2764,5,5,Business travel,Business
2765,5,1,Personal Travel,Eco
2766,1,3,Personal Travel,Eco
2767,3,2,Business travel,Business
2768,2,2,Business travel,Eco Plus
2769,2,2,Personal Travel,Eco
2770,4,3,Business travel,Business
2771,4,3,Personal Travel,Eco
2772,4,4,Business travel,Eco
2773,4,4,Personal Travel,Business
2774,4,3,Personal Travel,Eco
2775,5,5,Business travel,Business
2776,4,4,Business travel,Business
2777,4,4,Business travel,Business
2778,5,4,Business travel,Eco
2779,4,5,Business travel,Business
2780,3,1,Business travel,Business
2781,5,5,Business travel,Business
2782,4,4,Business travel,Business
2783,3,5,Personal Travel,Eco
2784,4,4,Business travel,Business
2785,5,3,Personal Travel,Eco
2786,3,5,Business travel,Eco Plus
2787,5,4,Business travel,Business
2788,4,4,Business travel,Business
2789,4,2,Business travel,Business
2790,2,3,Personal Travel,Eco Plus
2791,3,3,Business travel,Business
2792,3,4,Personal Travel,Eco
2793,2,4,Business travel,Business
2794,3,5,Personal Travel,Eco
2795,1,5,Business travel,Business
2796,4,4,Business travel,Business
2797,5,3,Business travel,Business
2798,1,3,Personal Travel,Eco
2799,3,4,Personal Travel,Eco
2800,4,4,Business travel,Business
2801,5,4,Business travel,Eco
2802,5,5,Business travel,Eco
2803,4,5,Personal Travel,Eco
2804,4,4,Business travel,Eco
2805,3,3,Business travel,Eco
2806,4,4,Business travel,Business
2807,5,5,Business travel,Business
2808,3,3,Business travel,Eco
2809,2,5,Personal Travel,Eco
2810,5,2,Personal Travel,Eco
2811,4,5,Business travel,Business
2812,2,1,Business travel,Eco
2813,3,3,Business travel,Business
2814,3,5,Business travel,Eco
2815,2,2,Personal Travel,Eco
2816,3,3,Business travel,Business
2817,5,2,Business travel,Business
2818,4,2,Business travel,Business
2819,4,4,Business travel,Business
2820,3,3,Business travel,Eco
2821,2,2,Business travel,Business
2822,4,2,Personal Travel,Business
2823,5,4,Business travel,Business
2824,1,5,Business travel,Eco
2825,4,3,Business travel,Business
2826,1,5,Business travel,Eco
2827,4,4,Business travel,Business
2828,4,4,Personal Travel,Eco
2829,2,4,Business travel,Eco
2830,3,2,Business travel,Business
2831,5,4,Business travel,Business
2832,4,4,Business travel,Business
2833,4,2,Personal Travel,Eco
2834,4,2,Business travel,Business
2835,5,5,Business travel,Eco
2836,2,2,Personal Travel,Eco
2837,4,3,Personal Travel,Eco
2838,5,5,Business travel,Eco
2839,2,2,Personal Travel,Eco
2840,3,3,Business travel,Business
2841,5,4,Business travel,Business
2842,3,3,Personal Travel,Eco
2843,5,5,Business travel,Business
2844,5,5,Business travel,Eco
2845,5,4,Business travel,Business
2846,4,4,Business travel,Business
2847,3,3,Business travel,Eco
2848,3,2,Business travel,Business
2849,2,3,Business travel,Business
2850,1,1,Business travel,Business
2851,3,5,Personal Travel,Eco
2852,1,2,Personal Travel,Eco
2853,2,1,Business travel,Business
2854,3,3,Business travel,Business
2855,5,5,Personal Travel,Eco
2856,3,2,Business travel,Business
2857,1,5,Business travel,Business
2858,3,2,Business travel,Eco Plus
2859,2,3,Business travel,Eco
2860,2,3,Business travel,Business
2861,1,2,Personal Travel,Eco
2862,5,5,Business travel,Business
2863,4,5,Personal Travel,Eco
2864,4,5,Business travel,Eco
2865,5,5,Business travel,Business
2866,1,1,Business travel,Business
2867,5,5,Business travel,Business
2868,4,3,Business travel,Business
2869,1,5,Personal Travel,Eco
2870,1,1,Personal Travel,Eco
2871,3,5,Business travel,Eco
2872,4,5,Business travel,Business
2873,2,5,Business travel,Eco
2874,3,2,Personal Travel,Business
2875,5,4,Business travel,Business
2876,3,5,Personal Travel,Eco
2877,4,4,Business travel,Business
2878,5,5,Business travel,Eco Plus
2879,4,2,Business travel,Business
2880,5,5,Business travel,Business
2881,5,4,Business travel,Business
2882,3,2,Business travel,Eco
2883,5,5,Business travel,Business
2884,5,5,Business travel,Business
2885,4,4,Business travel,Business
2886,5,5,Business travel,Eco
2887,5,5,Business travel,Business
2888,4,1,Personal Travel,Eco Plus
2889,4,2,Business travel,Business
2890,4,2,Business travel,Business
2891,4,4,Business travel,Business
2892,3,2,Business travel,Business
2893,5,5,Business travel,Business
2894,5,5,Business travel,Business
2895,5,5,Business travel,Business
2896,5,5,Business travel,Business
2897,3,5,Personal Travel,Eco
2898,4,3,Business travel,Eco
2899,1,4,Personal Travel,Eco
2900,5,4,Business travel,Business
2901,2,1,Personal Travel,Eco
2902,5,5,Business travel,Business
2903,1,2,Personal Travel,Eco Plus
2904,5,5,Business travel,Business
2905,3,1,Personal Travel,Eco
2906,1,5,Personal Travel,Eco
2907,4,3,Business travel,Business
2908,5,2,Business travel,Business
2909,4,4,Personal Travel,Eco
2910,5,5,Business travel,Business
2911,3,1,Business travel,Business
2912,3,3,Business travel,Business
2913,5,4,Business travel,Business
2914,4,4,Business travel,Business
2915,3,2,Business travel,Business
2916,2,2,Business travel,Eco Plus
2917,5,5,Business travel,Eco Plus
2918,5,3,Business travel,Business
2919,4,4,Business travel,Business
2920,3,2,Business travel,Business
2921,2,2,Personal Travel,Eco
2922,1,1,Business travel,Eco
2923,4,4,Business travel,Eco Plus
2924,1,5,Business travel,Business
2925,3,5,Business travel,Business
2926,3,1,Personal Travel,Eco
2927,3,5,Personal Travel,Eco
2928,3,4,Business travel,Business
2929,2,1,Business travel,Eco
2930,4,1,Business travel,Business
2931,2,1,Personal Travel,Eco
2932,5,2,Business travel,Business
2933,3,1,Business travel,Business
2934,1,3,Personal Travel,Eco
2935,5,5,Business travel,Business
2936,1,2,Personal Travel,Eco
2937,5,5,Business travel,Business
2938,4,1,Business travel,Business
2939,3,3,Personal Travel,Eco
2940,5,5,Business travel,Business
2941,1,4,Business travel,Eco
2942,5,5,Business travel,Business
2943,4,4,Business travel,Eco Plus
2944,3,3,Business travel,Eco Plus
2945,4,4,Business travel,Business
2946,5,2,Personal Travel,Eco
2947,2,2,Personal Travel,Eco Plus
2948,4,4,Business travel,Eco
2949,3,2,Personal Travel,Eco
2950,3,2,Business travel,Business
2951,2,2,Business travel,Eco
2952,4,5,Business travel,Business
2953,1,5,Personal Travel,Eco
2954,5,2,Business travel,Business
2955,5,5,Business travel,Business
2956,3,4,Business travel,Business
2957,5,3,Personal Travel,Eco
2958,2,5,Business travel,Eco
2959,3,1,Personal Travel,Eco Plus
2960,2,5,Personal Travel,Eco
2961,5,5,Business travel,Eco Plus
2962,2,4,Business travel,Business
2963,5,3,Business travel,Business
2964,4,2,Personal Travel,Eco
2965,4,4,Business travel,Business
2966,3,3,Business travel,Eco
2967,3,2,Business travel,Business
2968,5,5,Business travel,Eco
2969,2,4,Personal Travel,Eco
2970,1,2,Business travel,Eco
2971,2,2,Personal Travel,Eco
2972,3,1,Business travel,Eco
2973,5,5,Business travel,Eco
2974,3,1,Business travel,Business
2975,4,4,Business travel,Business
2976,3,3,Business travel,Eco Plus
2977,2,5,Business travel,Business
2978,5,4,Business travel,Business
2979,1,5,Business travel,Eco
2980,1,2,Personal Travel,Eco Plus
2981,2,2,Business travel,Eco
2982,3,3,Business travel,Business
2983,3,1,Personal Travel,Eco
2984,3,4,Business travel,Eco
2985,2,2,Business travel,Eco Plus
2986,4,5,Business travel,Business
2987,3,5,Personal Travel,Eco
2988,3,4,Business travel,Eco
2989,5,2,Personal Travel,Eco
2990,2,5,Business travel,Business
2991,3,3,Personal Travel,Eco Plus
2992,4,4,Business travel,Business
2993,3,3,Business travel,Eco Plus
2994,3,3,Business travel,Business
2995,4,1,Personal Travel,Eco
2996,2,2,Business travel,Business
2997,4,4,Business travel,Business
2998,5,5,Business travel,Business
2999,1,1,Personal Travel,Eco
3000,4,5,Business travel,Business
3001,4,1,Personal Travel,Business
3002,4,2,Business travel,Business
3003,4,5,Business travel,Business
3004,2,3,Personal Travel,Business
3005,2,5,Personal Travel,Eco Plus
3006,4,1,Personal Travel,Eco
3007,4,5,Business travel,Business
3008,4,4,Business travel,Business
3009,3,3,Personal Travel,Eco
3010,3,1,Business travel,Business
3011,1,3,Personal Travel,Business
3012,5,4,Business travel,Business
3013,2,3,Business travel,Eco Plus
3014,4,2,Business travel,Business
3015,3,1,Personal Travel,Eco
3016,4,4,Business travel,Eco
3017,5,1,Personal Travel,Eco
3018,3,3,Personal Travel,Eco
3019,5,3,Business travel,Business
3020,2,3,Business travel,Business
3021,4,4,Business travel,Business
3022,4,1,Business travel,Business
3023,1,1,Business travel,Business
3024,4,4,Personal Travel,Eco
3025,5,5,Business travel,Business
3026,3,2,Business travel,Eco
3027,3,5,Personal Travel,Eco
3028,2,1,Personal Travel,Eco
3029,2,2,Business travel,Eco
3030,5,4,Business travel,Business
3031,1,2,Personal Travel,Eco
3032,1,5,Business travel,Eco
3033,3,4,Business travel,Eco
3034,3,2,Personal Travel,Eco
3035,3,1,Business travel,Eco
3036,4,4,Business travel,Eco Plus
3037,2,4,Personal Travel,Business
3038,2,1,Business travel,Eco
3039,2,3,Personal Travel,Eco
3040,2,1,Business travel,Eco
3041,4,3,Business travel,Business
3042,3,4,Business travel,Business
3043,4,4,Business travel,Business
3044,5,2,Business travel,Business
3045,3,5,Personal Travel,Eco Plus
3046,2,4,Personal Travel,Eco
3047,3,3,Personal Travel,Eco
3048,3,2,Business travel,Eco
3049,2,4,Business travel,Business
3050,3,5,Personal Travel,Eco
3051,3,5,Personal Travel,Eco
3052,4,5,Personal Travel,Eco
3053,4,2,Business travel,Business
3054,3,5,Business travel,Business
3055,5,4,Business travel,Business
3056,1,4,Business travel,Business
3057,5,2,Personal Travel,Business
3058,2,1,Business travel,Eco
3059,5,4,Business travel,Eco
3060,5,5,Personal Travel,Eco
3061,5,5,Business travel,Business
3062,3,1,Personal Travel,Eco
3063,4,4,Business travel,Business
3064,2,3,Business travel,Business
3065,2,2,Business travel,Eco
3066,5,4,Business travel,Business
3067,3,2,Business travel,Eco
3068,1,1,Personal Travel,Eco
3069,2,3,Personal Travel,Eco
3070,4,3,Business travel,Business
3071,1,2,Business travel,Eco
3072,2,2,Business travel,Business
3073,2,2,Business travel,Business
3074,4,3,Business travel,Eco
3075,3,2,Personal Travel,Eco
3076,5,4,Business travel,Business
3077,5,3,Business travel,Business
3078,4,5,Business travel,Eco
3079,4,2,Personal Travel,Eco
3080,5,4,Business travel,Eco
3081,4,3,Personal Travel,Eco
3082,2,1,Business travel,Eco
3083,3,3,Personal Travel,Eco
3084,2,4,Business travel,Eco
3085,4,3,Personal Travel,Eco
3086,3,1,Business travel,Eco
3087,4,5,Business travel,Business
3088,5,2,Business travel,Business
3089,2,2,Personal Travel,Eco
3090,2,2,Business travel,Eco
3091,3,5,Business travel,Business
3092,5,5,Business travel,Business
3093,3,3,Business travel,Eco
3094,3,5,Business travel,Business
3095,1,1,Personal Travel,Eco Plus
3096,5,4,Business travel,Eco
3097,1,5,Business travel,Eco
3098,5,5,Business travel,Business
3099,4,4,Business travel,Business
3100,4,3,Business travel,Eco
3101,5,4,Business travel,Business
3102,4,4,Personal Travel,Eco
3103,3,2,Business travel,Business
3104,5,5,Business travel,Business
3105,1,2,Personal Travel,Eco
3106,4,4,Business travel,Business
3107,4,3,Business travel,Business
3108,1,5,Business travel,Eco
3109,3,4,Business travel,Eco
3110,3,3,Business travel,Eco
3111,4,1,Business travel,Business
3112,1,1,Personal Travel,Eco
3113,4,3,Business travel,Eco
3114,5,4,Business travel,Business
3115,2,2,Business travel,Business
3116,1,2,Personal Travel,Eco
3117,4,4,Business travel,Business
3118,4,5,Business travel,Business
3119,5,5,Business travel,Eco Plus
3120,4,2,Personal Travel,Eco
3121,5,4,Business travel,Business
3122,4,2,Personal Travel,Eco
3123,3,3,Personal Travel,Eco
3124,4,4,Business travel,Business
3125,3,2,Business travel,Eco
3126,3,2,Business travel,Business
3127,5,5,Business travel,Business
3128,1,1,Personal Travel,Eco
3129,4,3,Business travel,Business
3130,5,2,Business travel,Business
3131,5,4,Business travel,Business
3132,4,4,Business travel,Business
3133,1,5,Business travel,Business
3134,5,4,Business travel,Eco
3135,4,2,Personal Travel,Eco
3136,4,2,Business travel,Business
3137,3,1,Business travel,Eco
3138,5,4,Business travel,Business
3139,4,4,Business travel,Eco
3140,4,4,Business travel,Eco
3141,3,3,Personal Travel,Eco
3142,3,5,Business travel,Business
3143,1,4,Personal Travel,Eco
3144,2,4,Personal Travel,Eco
3145,5,5,Business travel,Business
3146,5,5,Business travel,Business
3147,5,5,Personal Travel,Eco
3148,2,5,Business travel,Eco
3149,5,4,Business travel,Business
3150,4,5,Business travel,Business
3151,5,5,Business travel,Eco
3152,2,2,Business travel,Business
3153,4,4,Business travel,Eco
3154,1,4,Business travel,Eco
3155,4,4,Business travel,Business
3156,2,1,Personal Travel,Eco
3157,4,4,Business travel,Business
3158,3,5,Business travel,Business
3159,3,2,Personal Travel,Business
3160,4,4,Business travel,Business
3161,4,2,Business travel,Business
3162,4,4,Business travel,Eco
3163,4,4,Business travel,Eco
3164,3,1,Business travel,Business
3165,3,4,Business travel,Eco
3166,3,1,Personal Travel,Eco
3167,4,1,Business travel,Business
3168,5,4,Business travel,Business
3169,5,5,Business travel,Eco
3170,3,3,Personal Travel,Eco
3171,4,4,Business travel,Business
3172,5,3,Personal Travel,Eco Plus
3173,5,3,Business travel,Business
3174,3,2,Business travel,Business
3175,4,1,Personal Travel,Eco
3176,4,4,Business travel,Business
3177,3,4,Business travel,Business
3178,4,3,Business travel,Eco
3179,4,4,Business travel,Eco
3180,2,4,Business travel,Business
3181,5,5,Business travel,Business
3182,5,5,Business travel,Business
3183,3,5,Personal Travel,Eco
3184,2,1,Personal Travel,Eco
3185,3,2,Business travel,Business
3186,4,5,Business travel,Business
3187,5,5,Business travel,Business
3188,5,5,Business travel,Business
3189,3,3,Personal Travel,Eco
3190,2,2,Business travel,Eco
3191,2,4,Business travel,Business
3192,4,5,Personal Travel,Eco
3193,4,2,Personal Travel,Eco
3194,4,5,Business travel,Business
3195,5,3,Business travel,Business
3196,2,1,Personal Travel,Eco
3197,2,5,Personal Travel,Eco
3198,4,1,Personal Travel,Eco
3199,5,5,Business travel,Business
3200,5,2,Personal Travel,Eco
3201,2,5,Business travel,Eco
3202,4,4,Business travel,Business
3203,3,5,Personal Travel,Business
3204,5,4,Business travel,Business
3205,4,1,Business travel,Eco
3206,3,4,Business travel,Business
3207,5,5,Business travel,Business
3208,5,4,Business travel,Business
3209,3,4,Personal Travel,Eco
3210,4,2,Business travel,Business
3211,4,3,Personal Travel,Eco
3212,1,4,Personal Travel,Eco
3213,3,3,Business travel,Business
3214,3,3,Business travel,Eco
3215,5,5,Business travel,Eco
3216,3,2,Personal Travel,Eco
3217,2,5,Personal Travel,Eco
3218,3,5,Personal Travel,Eco
3219,5,4,Business travel,Business
3220,5,3,Business travel,Business
3221,3,3,Personal Travel,Business
3222,4,4,Business travel,Business
3223,1,2,Business travel,Business
3224,5,5,Business travel,Business
3225,1,2,Personal Travel,Eco
3226,5,3,Business travel,Eco
3227,2,4,Business travel,Business
3228,4,5,Business travel,Business
3229,2,3,Personal Travel,Eco
3230,3,3,Business travel,Eco
3231,3,4,Business travel,Business
3232,5,4,Personal Travel,Eco Plus
3233,2,1,Business travel,Eco
3234,5,4,Business travel,Business
3235,4,1,Business travel,Business
3236,4,4,Personal Travel,Eco
3237,5,5,Business travel,Business
3238,4,5,Business travel,Business
3239,2,4,Business travel,Business
3240,4,4,Business travel,Business
3241,4,3,Personal Travel,Eco
3242,3,3,Business travel,Eco
3243,4,4,Business travel,Business
3244,4,3,Business travel,Eco
3245,5,5,Business travel,Business
3246,5,5,Business travel,Eco
3247,3,3,Business travel,Eco
3248,3,5,Personal Travel,Eco
3249,4,4,Business travel,Business
